Branch,Clinic,Doctor Name,Clinic Rank in Medical Center,Doctor Rank in Clinic,Section,Period,Claimed Amount,#Claimants,#Claims,ACLC (Average Claimant Cost Doctor Clinic),ACC (Average Claim Cost Doctor Clinic),ACC (Average Claim Cost Branch Clinic),Ratio ACC to Branch,ACLC (Average Claimant Cost Branch Clinic),Ratio ACLC to Branch,ACC (Average Claim Cost Medical Centers Clinic),Ratio ACC to Medical Center,ACC INDICATOR,ACLC (Average Claimant Cost Medical Centers Clinic),Ratio ACLC to Medical Center
DC,INTERNAL MEDICINE CLINIC,AMJAD HAMAD ALBATILI,7,4,Consultation,202401,"1,329",,,133,133,140,0.95,146,0.91,157,0.85,Normal,185,0.72
DC,INTERNAL MEDICINE CLINIC,FAISAL ALMUHIZI,7,3,Consultation,202401,"3,337",,,176,176,140,1.25,146,1.20,157,1.12,High,185,0.95
DC,INTERNAL MEDICINE CLINIC,SAMI SAAD ALSHAMMARI,7,2,Consultation,202401,"5,252",,,135,135,140,0.96,146,0.92,157,0.86,Normal,185,0.73
DC,INTERNAL MEDICINE CLINIC,AHMAD RAMADAN,7,1,Lab,202401,"65,830",,,639,610,566,1.08,590,1.08,364,1.68,High,428,1.49
DC,INTERNAL MEDICINE CLINIC,AMJAD HAMAD ALBATILI,7,4,Lab,202401,"5,041",,,504,504,566,0.89,590,0.85,364,1.39,High,428,1.18
DC,INTERNAL MEDICINE CLINIC,FAISAL ALMUHIZI,7,3,Lab,202401,"7,367",,,388,388,566,0.68,590,0.66,364,1.07,High,428,0.91
DC,INTERNAL MEDICINE CLINIC,SAMI SAAD ALSHAMMARI,7,2,Lab,202401,"21,422",,,549,549,566,0.97,590,0.93,364,1.51,High,428,1.28
DC,INTERNAL MEDICINE CLINIC,AHMAD RAMADAN,7,1,Others,202401,940,,,9,9,17,0.52,17,0.52,82,0.11,Normal,96,0.09
DC,INTERNAL MEDICINE CLINIC,AMJAD HAMAD ALBATILI,7,4,Others,202401,0,,,0,0,17,0.00,17,0.00,82,0.00,Normal,96,0.00
DC,INTERNAL MEDICINE CLINIC,FAISAL ALMUHIZI,7,3,Others,202401,"1,928",,,101,101,17,6.07,17,5.83,82,1.24,High,96,1.05
DC,INTERNAL MEDICINE CLINIC,SAMI SAAD ALSHAMMARI,7,2,Others,202401,74,,,2,2,17,0.11,17,0.11,82,0.02,Normal,96,0.02
DC,INTERNAL MEDICINE CLINIC,AHMAD RAMADAN,7,1,PHR,202401,"19,939",,,194,185,161,1.15,168,1.15,185,1.00,Normal,217,0.89
DC,INTERNAL MEDICINE CLINIC,AMJAD HAMAD ALBATILI,7,4,PHR,202401,306,,,31,31,161,0.19,168,0.18,185,0.17,Normal,217,0.14
DC,INTERNAL MEDICINE CLINIC,FAISAL ALMUHIZI,7,3,PHR,202401,"5,055",,,266,266,161,1.65,168,1.58,185,1.44,High,217,1.22
DC,INTERNAL MEDICINE CLINIC,SAMI SAAD ALSHAMMARI,7,2,PHR,202401,"3,073",,,79,79,161,0.49,168,0.47,185,0.43,Normal,217,0.36
DC,INTERNAL MEDICINE CLINIC,AHMAD RAMADAN,7,1,Radiology,202401,"2,487",,,24,23,23,0.99,24,1.00,42,0.55,Normal,50,0.49
DC,INTERNAL MEDICINE CLINIC,AMJAD HAMAD ALBATILI,7,4,Radiology,202401,284,,,28,28,23,1.22,24,1.17,42,0.67,Normal,50,0.57
DC,INTERNAL MEDICINE CLINIC,FAISAL ALMUHIZI,7,3,Radiology,202401,146,,,8,8,23,0.33,24,0.32,42,0.18,Normal,50,0.15
DC,INTERNAL MEDICINE CLINIC,SAMI SAAD ALSHAMMARI,7,2,Radiology,202401,"1,163",,,30,30,23,1.29,24,1.24,42,0.71,Normal,50,0.60
DQ,ORTHOPEDICS,ABDULAZIZ ALHAKBANI,5,2,Total,202401,"76,107",115,119,662,640,640,1.00,673,0.98,592,1.08,High,622,1.06
DQ,OPHTHALMOLOGY,ABDULLAH MOUSA,5,1,Total,202401,"75,241",178,178,423,423,431,0.98,433,0.98,376,1.12,High,381,1.11
DQ,FAMILY MEDICINE,YASIR ALHUZANI,1,5,Total,202401,"70,605",100,104,706,679,841,0.81,897,0.79,870,0.78,Normal,930,0.76
DQ,ENT CLINIC,SHAHAD ALMUHANNA,4,2,Total,202401,"68,989",96,96,719,719,658,1.09,685,1.05,639,1.12,High,667,1.08
DC,NEUROLOGY CLINIC,Referral Doctor,17,1,Consultation,202401,294,,,147,147,147,1.00,147,1.00,147,1.00,Normal,147,1.00
DC,NEUROLOGY CLINIC,Referral Doctor,17,1,Lab,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,NEUROLOGY CLINIC,Referral Doctor,17,1,Others,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,NEUROLOGY CLINIC,Referral Doctor,17,1,PHR,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,NEUROLOGY CLINIC,Referral Doctor,17,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,ER CLINIC,RASHA FAWAZ ALSKAFF,4,2,Total,202401,"68,161",208,208,328,328,332,0.99,342,0.96,308,1.06,High,320,1.02
DC,OB-GYNE,SARAH FAHAD ALMUTAIRY,3,1,Consultation,202401,"49,485",,,159,134,134,1.00,158,1.01,132,1.01,High,151,1.05
DC,OB-GYNE,ZEINA SERHAL EL HAJJAR,3,2,Consultation,202401,"12,741",,,145,134,134,1.00,158,0.92,132,1.02,High,151,0.96
DC,OB-GYNE,SARAH FAHAD ALMUTAIRY,3,1,Lab,202401,"111,131",,,356,300,313,0.96,368,0.97,323,0.93,Normal,370,0.96
DC,OB-GYNE,ZEINA SERHAL EL HAJJAR,3,2,Lab,202401,"34,274",,,389,361,313,1.15,368,1.06,323,1.12,High,370,1.05
DC,OB-GYNE,SARAH FAHAD ALMUTAIRY,3,1,Others,202401,"5,898",,,19,16,19,0.85,22,0.86,17,0.92,Normal,20,0.96
DC,OB-GYNE,ZEINA SERHAL EL HAJJAR,3,2,Others,202401,"2,791",,,32,29,19,1.57,22,1.44,17,1.70,High,20,1.60
DC,OB-GYNE,SARAH FAHAD ALMUTAIRY,3,1,PHR,202401,"28,629",,,92,77,70,1.10,83,1.11,70,1.10,High,80,1.14
DC,OB-GYNE,ZEINA SERHAL EL HAJJAR,3,2,PHR,202401,"4,018",,,46,42,70,0.60,83,0.55,70,0.60,Normal,80,0.57
DC,OB-GYNE,SARAH FAHAD ALMUTAIRY,3,1,Radiology,202401,"48,222",,,155,130,128,1.02,151,1.02,131,0.99,Normal,150,1.03
DC,OB-GYNE,ZEINA SERHAL EL HAJJAR,3,2,Radiology,202401,"11,395",,,129,120,128,0.94,151,0.86,131,0.91,Normal,150,0.86
DC,ENT CLINIC,SAAD IBRAHIM ALBALAWI,6,1,Total,202401,"68,161",93,95,733,717,613,1.17,641,1.14,639,1.12,High,667,1.10
DQ,ER CLINIC,RAMI MATOUK,3,3,Total,202401,"67,264",250,253,269,266,294,0.90,306,0.88,308,0.86,Normal,320,0.84
DC,OPHTHALMOLOGY,MARAM MHD JIHAD BAHBOUH,9,1,Consultation,202401,"44,014",,,141,138,138,1.00,141,1.00,146,0.95,Normal,148,0.95
DC,OPHTHALMOLOGY,MARAM MHD JIHAD BAHBOUH,9,1,Lab,202401,"1,635",,,5,5,5,1.00,5,1.00,3,1.55,High,3,1.56
DC,OPHTHALMOLOGY,MARAM MHD JIHAD BAHBOUH,9,1,Others,202401,"24,339",,,78,76,76,1.00,78,1.00,119,0.64,Normal,121,0.64
DC,OPHTHALMOLOGY,MARAM MHD JIHAD BAHBOUH,9,1,PHR,202401,"36,503",,,117,114,114,1.00,117,1.00,108,1.06,High,109,1.07
DC,OPHTHALMOLOGY,MARAM MHD JIHAD BAHBOUH,9,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,OB-GYNE,ZEINA SERHAL EL HAJJAR,3,2,Total,202401,"65,220",88,95,741,687,664,1.03,781,0.95,674,1.02,High,771,0.96
DC,ORTHOPEDICS,FAHAD MOHAMMED,11,1,Consultation,202401,"12,277",,,138,136,135,1.01,140,0.99,140,0.97,Normal,147,0.94
DC,ORTHOPEDICS,SAUD YASEEN SALEEM BIN SALEEM,11,3,Consultation,202401,441,,,147,147,135,1.09,140,1.05,140,1.05,High,147,1.00
DC,ORTHOPEDICS,SULTAN ALHARBI,11,2,Consultation,202401,"8,124",,,138,133,135,0.98,140,0.98,140,0.95,Normal,147,0.94
DC,ORTHOPEDICS,FAHAD MOHAMMED,11,1,Lab,202401,"1,605",,,18,18,15,1.20,15,1.18,26,0.70,Normal,27,0.67
DC,ORTHOPEDICS,SAUD YASEEN SALEEM BIN SALEEM,11,3,Lab,202401,0,,,0,0,15,0.00,15,0.00,26,0.00,Normal,27,0.00
DC,ORTHOPEDICS,SULTAN ALHARBI,11,2,Lab,202401,677,,,11,11,15,0.75,15,0.75,26,0.43,Normal,27,0.43
DC,ORTHOPEDICS,FAHAD MOHAMMED,11,1,Others,202401,"3,705",,,42,41,24,1.71,25,1.67,63,0.65,Normal,66,0.63
DC,ORTHOPEDICS,SAUD YASEEN SALEEM BIN SALEEM,11,3,Others,202401,0,,,0,0,24,0.00,25,0.00,63,0.00,Normal,66,0.00
DC,ORTHOPEDICS,SULTAN ALHARBI,11,2,Others,202401,0,,,0,0,24,0.00,25,0.00,63,0.00,Normal,66,0.00
DC,ORTHOPEDICS,FAHAD MOHAMMED,11,1,PHR,202401,"14,614",,,164,162,121,1.34,125,1.31,166,0.98,Normal,174,0.94
DC,ORTHOPEDICS,SAUD YASEEN SALEEM BIN SALEEM,11,3,PHR,202401,0,,,0,0,121,0.00,125,0.00,166,0.00,Normal,174,0.00
DC,ORTHOPEDICS,SULTAN ALHARBI,11,2,PHR,202401,"4,060",,,69,67,121,0.55,125,0.55,166,0.40,Normal,174,0.40
DC,ORTHOPEDICS,FAHAD MOHAMMED,11,1,Radiology,202401,"15,955",,,179,177,189,0.94,195,0.92,198,0.90,Normal,208,0.86
DC,ORTHOPEDICS,SAUD YASEEN SALEEM BIN SALEEM,11,3,Radiology,202401,"1,028",,,343,343,189,1.81,195,1.76,198,1.73,High,208,1.65
DC,ORTHOPEDICS,SULTAN ALHARBI,11,2,Radiology,202401,"12,083",,,205,198,189,1.05,195,1.05,198,1.00,Normal,208,0.99
DC,FAMILY MEDICINE,SALEH ALQAHTANI,1,4,Total,202401,"61,395",64,66,959,930,907,1.03,966,0.99,870,1.07,High,930,1.03
DC,ER CLINIC,RAWAN ABDULMALIK,4,3,Total,202401,"53,501",199,201,269,266,332,0.80,342,0.79,308,0.86,Normal,320,0.84
DC,DERMATOLOGY,FATIMAH ALMUQARRAB,12,1,Total,202401,"52,464",90,92,583,570,566,1.01,579,1.01,556,1.02,High,579,1.01
DC,PAIN CLINIC,Referral Doctor,19,1,Consultation,202401,118,,,118,118,118,1.00,118,1.00,118,1.00,Normal,118,1.00
DC,PAIN CLINIC,Referral Doctor,19,1,Lab,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,PAIN CLINIC,Referral Doctor,19,1,Others,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,PAIN CLINIC,Referral Doctor,19,1,PHR,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,PAIN CLINIC,Referral Doctor,19,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,GASTROENTEROLOGY,AHMAD RAMADAN,13,1,Total,202401,"50,090",52,55,963,911,934,0.97,"1,006",0.96,934,0.97,Normal,"1,006",0.96
DC,PEDIATRIC,AHMAD MOOSA ALI ALHAZMI,8,2,Consultation,202401,"5,807",,,135,135,134,1.01,141,0.96,134,1.01,Normal,145,0.93
DC,PEDIATRIC,WALAA HAYDAR,8,1,Consultation,202401,"31,795",,,137,134,134,1.00,141,0.97,134,1.00,Normal,145,0.95
DC,PEDIATRIC,AHMAD MOOSA ALI ALHAZMI,8,2,Lab,202401,"2,651",,,62,62,141,0.44,149,0.42,69,0.89,Normal,75,0.83
DC,PEDIATRIC,WALAA HAYDAR,8,1,Lab,202401,"37,015",,,160,156,141,1.10,149,1.07,69,2.25,High,75,2.14
DC,PEDIATRIC,AHMAD MOOSA ALI ALHAZMI,8,2,Others,202401,"4,175",,,97,97,94,1.03,99,0.98,106,0.92,Normal,114,0.85
DC,PEDIATRIC,WALAA HAYDAR,8,1,Others,202401,"22,271",,,96,94,94,0.99,99,0.97,106,0.89,Normal,114,0.84
DC,PEDIATRIC,AHMAD MOOSA ALI ALHAZMI,8,2,PHR,202401,"2,112",,,49,49,189,0.26,199,0.25,200,0.25,Normal,216,0.23
DC,PEDIATRIC,WALAA HAYDAR,8,1,PHR,202401,"51,107",,,220,215,189,1.13,199,1.11,200,1.07,High,216,1.02
DC,PEDIATRIC,AHMAD MOOSA ALI ALHAZMI,8,2,Radiology,202401,65,,,2,2,7,0.22,7,0.21,7,0.23,Normal,7,0.21
DC,PEDIATRIC,WALAA HAYDAR,8,1,Radiology,202401,"1,892",,,8,8,7,1.14,7,1.11,7,1.19,High,7,1.13
DQ,PSYCHIATRY,MAHA FAQI,6,1,Total,202401,"48,476",92,93,527,521,417,1.25,427,1.23,405,1.29,High,419,1.26
DC,ORTHOPEDICS,FAHAD MOHAMMED,11,1,Total,202401,"48,157",89,90,541,535,484,1.11,500,1.08,592,0.90,Normal,622,0.87
DC,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,14,1,Consultation,202401,"26,451",,,245,243,243,1.00,245,1.00,205,1.18,High,212,1.15
DC,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,14,1,Lab,202401,"2,190",,,20,20,20,1.00,20,1.00,14,1.41,High,15,1.37
DC,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,14,1,Others,202401,125,,,1,1,1,1.00,1,1.00,0,3.06,High,0,2.98
DC,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,14,1,PHR,202401,"12,806",,,119,117,117,1.00,119,1.00,185,0.63,Normal,192,0.62
DC,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,14,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,FAMILY MEDICINE,SALEH SAAD AL SUWAYT,1,5,Total,202401,"46,572",67,71,695,656,907,0.72,966,0.72,870,0.75,Normal,930,0.75
DC,UROLOGY CLINIC,ALI ALGHONAIM,15,2,Consultation,202401,"2,129",,,133,133,135,0.99,135,0.99,135,0.99,Normal,136,0.98
DC,UROLOGY CLINIC,SAAD ALQASEM,15,1,Consultation,202401,"5,151",,,136,136,135,1.01,135,1.01,135,1.00,Normal,136,0.99
DC,UROLOGY CLINIC,ALI ALGHONAIM,15,2,Lab,202401,"1,600",,,100,100,79,1.26,79,1.26,116,0.86,Normal,117,0.85
DC,UROLOGY CLINIC,SAAD ALQASEM,15,1,Lab,202401,"2,680",,,71,71,79,0.89,79,0.89,116,0.61,Normal,117,0.60
DC,UROLOGY CLINIC,ALI ALGHONAIM,15,2,Others,202401,30,,,2,2,9,0.21,9,0.21,5,0.34,Normal,5,0.34
DC,UROLOGY CLINIC,SAAD ALQASEM,15,1,Others,202401,449,,,12,12,9,1.33,9,1.33,5,2.19,High,5,2.17
DC,UROLOGY CLINIC,ALI ALGHONAIM,15,2,PHR,202401,"1,433",,,90,90,53,1.68,53,1.68,101,0.89,Normal,102,0.88
DC,UROLOGY CLINIC,SAAD ALQASEM,15,1,PHR,202401,"1,453",,,38,38,53,0.72,53,0.72,101,0.38,Normal,102,0.37
DC,UROLOGY CLINIC,ALI ALGHONAIM,15,2,Radiology,202401,"3,141",,,196,196,143,1.37,143,1.37,128,1.54,High,129,1.52
DC,UROLOGY CLINIC,SAAD ALQASEM,15,1,Radiology,202401,"4,586",,,121,121,143,0.84,143,0.84,128,0.95,Normal,129,0.94
DQ,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,6,2,Total,202401,"44,975",128,131,351,343,417,0.82,427,0.82,405,0.85,Normal,419,0.84
DC,ENT CLINIC,ABDULLAH SAUD ARAFAT,6,2,Total,202401,"44,453",67,69,663,644,613,1.05,641,1.03,639,1.01,Normal,667,0.99
DQ,CARDIOLOGY,RABEA AL HAJ YAHIA,7,1,Consultation,202401,"5,941",,,156,156,156,1.00,156,1.00,156,1.00,Normal,156,1.00
DQ,CARDIOLOGY,RABEA AL HAJ YAHIA,7,1,Lab,202401,"9,505",,,250,250,250,1.00,250,1.00,244,1.03,High,244,1.03
DQ,CARDIOLOGY,RABEA AL HAJ YAHIA,7,1,Others,202401,"13,436",,,354,354,354,1.00,354,1.00,345,1.03,High,345,1.03
DQ,CARDIOLOGY,RABEA AL HAJ YAHIA,7,1,PHR,202401,"8,884",,,234,234,234,1.00,234,1.00,228,1.03,High,228,1.03
DQ,CARDIOLOGY,RABEA AL HAJ YAHIA,7,1,Radiology,202401,"1,365",,,36,36,36,1.00,36,1.00,35,1.03,High,35,1.03
DC,ER CLINIC,MAYYAR KHALAF,4,4,Total,202401,"44,071",147,147,300,300,332,0.90,342,0.88,308,0.97,Normal,320,0.94
DQ,Clinical Nutrition,NAGHAM KHALED EL DADOUN,8,1,Consultation,202401,"3,139",,,136,136,136,1.00,136,1.00,136,1.00,Normal,136,1.00
DQ,Clinical Nutrition,NAGHAM KHALED EL DADOUN,8,1,Lab,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,24,0.00,Normal,24,0.00
DQ,Clinical Nutrition,NAGHAM KHALED EL DADOUN,8,1,Others,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DQ,Clinical Nutrition,NAGHAM KHALED EL DADOUN,8,1,PHR,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DQ,Clinical Nutrition,NAGHAM KHALED EL DADOUN,8,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DQ,ER CLINIC,DALIA HASSAN ALI NASR,3,4,Total,202401,"43,700",145,145,301,301,294,1.02,306,0.98,308,0.98,Normal,320,0.94
DQ,DERMATOLOGY,DR ALA MUTASIM,4,1,Consultation,202401,"67,410",,,138,132,132,1.00,138,1.00,138,0.95,Normal,144,0.95
DQ,DERMATOLOGY,DR ALA MUTASIM,4,1,Lab,202401,"67,174",,,137,131,131,1.00,137,1.00,130,1.01,Normal,135,1.01
DQ,DERMATOLOGY,DR ALA MUTASIM,4,1,Others,202401,"36,170",,,74,71,71,1.00,74,1.00,69,1.02,High,72,1.02
DQ,DERMATOLOGY,DR ALA MUTASIM,4,1,PHR,202401,"112,607",,,230,220,220,1.00,230,1.00,216,1.02,High,225,1.02
DQ,DERMATOLOGY,DR ALA MUTASIM,4,1,Radiology,202401,611,,,1,1,1,1.00,1,1.00,2,0.55,Normal,2,0.55
DQ,GP,Referral Doctor,6,1,Total,202401,"42,313",47,50,900,846,846,1.00,900,1.00,"1,201",0.70,Normal,"1,270",0.71
DQ,ENT CLINIC,ABDULLAH ALZUWAYED,4,1,Consultation,202401,"27,276",,,132,131,131,1.00,137,0.97,139,0.95,Normal,145,0.92
DQ,ENT CLINIC,AHMED ALSAYED,4,3,Consultation,202401,"9,645",,,129,129,131,0.98,137,0.94,139,0.93,Normal,145,0.89
DQ,ENT CLINIC,Referral Doctor,4,4,Consultation,202401,314,,,157,157,131,1.20,137,1.15,139,1.13,High,145,1.09
DQ,ENT CLINIC,SHAHAD ALMUHANNA,4,2,Consultation,202401,"12,758",,,133,133,131,1.01,137,0.97,139,0.96,Normal,145,0.92
DQ,ENT CLINIC,ABDULLAH ALZUWAYED,4,1,Lab,202401,753,,,4,4,8,0.44,9,0.43,6,0.56,Normal,7,0.54
DQ,ENT CLINIC,AHMED ALSAYED,4,3,Lab,202401,327,,,4,4,8,0.53,9,0.51,6,0.67,Normal,7,0.65
DQ,ENT CLINIC,Referral Doctor,4,4,Lab,202401,263,,,132,132,8,16.03,9,15.40,6,20.33,High,7,19.48
DQ,ENT CLINIC,SHAHAD ALMUHANNA,4,2,Lab,202401,"1,786",,,19,19,8,2.27,9,2.18,6,2.87,High,7,2.75
DQ,ENT CLINIC,ABDULLAH ALZUWAYED,4,1,Others,202401,"100,363",,,487,483,412,1.17,428,1.14,384,1.26,High,401,1.22
DQ,ENT CLINIC,AHMED ALSAYED,4,3,Others,202401,"17,476",,,233,233,412,0.57,428,0.54,384,0.61,Normal,401,0.58
DQ,ENT CLINIC,Referral Doctor,4,4,Others,202401,0,,,0,0,412,0.00,428,0.00,384,0.00,Normal,401,0.00
DQ,ENT CLINIC,SHAHAD ALMUHANNA,4,2,Others,202401,"38,950",,,406,406,412,0.99,428,0.95,384,1.06,High,401,1.01
DQ,ENT CLINIC,ABDULLAH ALZUWAYED,4,1,PHR,202401,"15,086",,,73,73,94,0.77,98,0.75,92,0.79,Normal,96,0.77
DQ,ENT CLINIC,AHMED ALSAYED,4,3,PHR,202401,"6,797",,,91,91,94,0.97,98,0.93,92,0.99,Normal,96,0.95
DQ,ENT CLINIC,Referral Doctor,4,4,PHR,202401,0,,,0,0,94,0.00,98,0.00,92,0.00,Normal,96,0.00
DQ,ENT CLINIC,SHAHAD ALMUHANNA,4,2,PHR,202401,"13,802",,,144,144,94,1.53,98,1.47,92,1.57,High,96,1.50
DQ,ENT CLINIC,ABDULLAH ALZUWAYED,4,1,Radiology,202401,"1,477",,,7,7,13,0.53,14,0.51,18,0.39,Normal,19,0.38
DQ,ENT CLINIC,AHMED ALSAYED,4,3,Radiology,202401,773,,,10,10,13,0.77,14,0.74,18,0.56,Normal,19,0.54
DQ,ENT CLINIC,Referral Doctor,4,4,Radiology,202401,"1,189",,,594,594,13,44.12,14,42.38,18,32.47,High,19,31.12
DQ,ENT CLINIC,SHAHAD ALMUHANNA,4,2,Radiology,202401,"1,693",,,18,18,13,1.31,14,1.26,18,0.96,Normal,19,0.92
DC,PSYCHIATRY,RAMI ABDULKADER KHALIL AKKIELAH,14,1,Total,202401,"41,572",108,109,385,381,381,1.00,385,1.00,405,0.94,Normal,419,0.92
DQ,ER CLINIC,MOHAMMED ALAWADI,3,5,Total,202401,"40,872",146,146,280,280,294,0.95,306,0.91,308,0.91,Normal,320,0.87
DQ,CARDIOLOGY,RABEA AL HAJ YAHIA,7,1,Total,202401,"39,131",38,38,"1,030","1,030","1,030",1.00,"1,030",1.00,"1,007",1.02,High,"1,007",1.02
DC,ENT CLINIC,ABDULMALIK ISMAIL,6,3,Total,202401,"38,878",79,80,492,486,613,0.79,641,0.77,639,0.76,Normal,667,0.74
DQ,ER CLINIC,DALIA HASSAN ALI NASR,3,4,Consultation,202401,"19,284",,,133,133,132,1.01,138,0.97,133,1.00,Normal,138,0.96
DQ,ER CLINIC,FARDWS YASSF,3,2,Consultation,202401,"48,817",,,135,132,132,1.00,138,0.98,133,0.99,Normal,138,0.97
DQ,ER CLINIC,HAYAM SHASH,3,1,Consultation,202401,"45,793",,,132,132,132,1.00,138,0.96,133,0.99,Normal,138,0.95
DQ,ER CLINIC,MAYYAR KHALAF,3,6,Consultation,202401,"16,170",,,134,134,132,1.01,138,0.97,133,1.00,Normal,138,0.97
DQ,ER CLINIC,MOHAMMED ALAWADI,3,5,Consultation,202401,"19,351",,,133,133,132,1.00,138,0.96,133,1.00,Normal,138,0.96
DQ,ER CLINIC,RAMI MATOUK,3,3,Consultation,202401,"33,155",,,133,131,132,0.99,138,0.96,133,0.98,Normal,138,0.96
DQ,ER CLINIC,RAWAN ABDULMALIK,3,7,Consultation,202401,"14,325",,,131,131,132,0.99,138,0.96,133,0.99,Normal,138,0.95
DQ,ER CLINIC,Referral Doctor,3,8,Consultation,202401,"3,533",,,136,136,132,1.03,138,0.99,133,1.02,High,138,0.98
DQ,ER CLINIC,SUHAIB JABER,3,9,Consultation,202401,"1,363",,,136,136,132,1.03,138,0.99,133,1.02,High,138,0.99
DQ,ER CLINIC,DALIA HASSAN ALI NASR,3,4,Lab,202401,"3,528",,,24,24,14,1.73,15,1.66,16,1.53,High,16,1.47
DQ,ER CLINIC,FARDWS YASSF,3,2,Lab,202401,"3,965",,,11,11,14,0.76,15,0.75,16,0.68,Normal,16,0.66
DQ,ER CLINIC,HAYAM SHASH,3,1,Lab,202401,"5,868",,,17,17,14,1.20,15,1.15,16,1.06,High,16,1.02
DQ,ER CLINIC,MAYYAR KHALAF,3,6,Lab,202401,"3,222",,,27,27,14,1.89,15,1.81,16,1.68,High,16,1.61
DQ,ER CLINIC,MOHAMMED ALAWADI,3,5,Lab,202401,"3,412",,,23,23,14,1.66,15,1.59,16,1.47,High,16,1.42
DQ,ER CLINIC,RAMI MATOUK,3,3,Lab,202401,"1,122",,,4,4,14,0.31,15,0.31,16,0.28,Normal,16,0.27
DQ,ER CLINIC,RAWAN ABDULMALIK,3,7,Lab,202401,409,,,4,4,14,0.27,15,0.26,16,0.24,Normal,16,0.23
DQ,ER CLINIC,Referral Doctor,3,8,Lab,202401,0,,,0,0,14,0.00,15,0.00,16,0.00,Normal,16,0.00
DQ,ER CLINIC,SUHAIB JABER,3,9,Lab,202401,0,,,0,0,14,0.00,15,0.00,16,0.00,Normal,16,0.00
DQ,ER CLINIC,DALIA HASSAN ALI NASR,3,4,Others,202401,"1,998",,,14,14,16,0.88,16,0.85,19,0.72,Normal,20,0.69
DQ,ER CLINIC,FARDWS YASSF,3,2,Others,202401,"7,550",,,21,20,16,1.31,16,1.29,19,1.07,High,20,1.05
DQ,ER CLINIC,HAYAM SHASH,3,1,Others,202401,"7,715",,,22,22,16,1.42,16,1.37,19,1.15,High,20,1.11
DQ,ER CLINIC,MAYYAR KHALAF,3,6,Others,202401,"1,239",,,10,10,16,0.66,16,0.63,19,0.53,Normal,20,0.51
DQ,ER CLINIC,MOHAMMED ALAWADI,3,5,Others,202401,"1,748",,,12,12,16,0.77,16,0.74,19,0.62,Normal,20,0.60
DQ,ER CLINIC,RAMI MATOUK,3,3,Others,202401,"1,051",,,4,4,16,0.27,16,0.26,19,0.22,Normal,20,0.21
DQ,ER CLINIC,RAWAN ABDULMALIK,3,7,Others,202401,"1,949",,,18,18,16,1.15,16,1.10,19,0.93,Normal,20,0.90
DQ,ER CLINIC,Referral Doctor,3,8,Others,202401,294,,,11,11,16,0.73,16,0.70,19,0.59,Normal,20,0.57
DQ,ER CLINIC,SUHAIB JABER,3,9,Others,202401,254,,,25,25,16,1.63,16,1.57,19,1.32,High,20,1.27
DQ,ER CLINIC,DALIA HASSAN ALI NASR,3,4,PHR,202401,"16,625",,,115,115,122,0.94,127,0.90,129,0.89,Normal,134,0.85
DQ,ER CLINIC,FARDWS YASSF,3,2,PHR,202401,"39,619",,,109,107,122,0.88,127,0.86,129,0.83,Normal,134,0.81
DQ,ER CLINIC,HAYAM SHASH,3,1,PHR,202401,"55,963",,,161,161,122,1.32,127,1.27,129,1.24,High,134,1.20
DQ,ER CLINIC,MAYYAR KHALAF,3,6,PHR,202401,"16,174",,,134,134,122,1.10,127,1.05,129,1.03,High,134,0.99
DQ,ER CLINIC,MOHAMMED ALAWADI,3,5,PHR,202401,"15,181",,,104,104,122,0.85,127,0.82,129,0.80,Normal,134,0.77
